%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1670366096147919534,224,1670366096147356997,,0.4227883709777671,0.0,0.0,0.0,0.0,0.0
1670366096195881109,225,1670366096195321423,,0.42893230407786404,0.0,0.0,0.0,0.0,0.0
1670366096243909942,226,1670366096243335534,,0.3505437006998683,0.0,0.0,0.0,0.0,0.0
1670366096275798553,227,1670366096275252553,,0.4475479069526995,0.0,0.0,0.0,0.0,0.0
1670366096323866368,228,1670366096323305516,,0.4534760962057952,0.0,0.0,0.0,0.0,0.0
1670366096355852997,229,1670366096355286812,,0.4622810078954708,0.0,0.0,0.0,0.0,0.0
1670366096403849016,230,1670366096403285923,,0.47448137041978483,0.0,0.0,0.0,0.0,0.0
1670366096451860349,231,1670366096451281571,,0.38672306879093055,0.0,0.0,0.0,0.0,0.0
1670366096483921423,232,1670366096483287979,,0.4835613782366679,0.0,0.0,0.0,0.0,0.0
1670366096532007331,233,1670366096531311368,,0.48944051593984816,0.0,0.0,0.0,0.0,0.0
1670366096563798960,234,1670366096563250682,,0.5077597297073064,0.0,0.0,0.0,0.0,0.0
1670366096611812497,235,1670366096611237497,,0.5139571517962745,0.0,0.0,0.0,0.0,0.0
1670366096659868016,236,1670366096659266719,,0.4108254296923959,0.0,0.0,0.0,0.0,0.0
1670366096691700830,237,1670366096691198997,,0.5320035859452956,0.0,0.0,0.0,0.0,0.0
1670366096739851701,238,1670366096739248127,,0.5380344478683297,0.0,0.0,0.0,0.0,0.0
1670366096771752275,239,1670366096771219293,,0.5469073203338706,0.0,0.0,0.0,0.0,0.0
1670366096819706238,240,1670366096819115941,,0.3355111330755041,0.0,0.0,0.0,0.0,0.0
1670366096835728275,241,1670366096835138367,,0.0,0.0,0.0,0.0,0.0,0.0
1670366096867724719,242,1670366096867195960,,0.7326197199334226,0.0,0.0,0.0,0.0,0.0
1670366096915774534,243,1670366096915212127,,0.9621445196610581,0.0,0.0,0.0,0.0,0.0
1670366096947730367,244,1670366096947170719,,0.5742461153793731,0.0,0.0,0.0,0.0,0.0
1670366096995780349,245,1670366096995199997,,0.5802996907649961,0.0,0.0,0.0,0.0,0.0
1670366097043857034,246,1670366097043224701,,0.477182219746907,0.0,0.0,0.0,0.0,0.0
1670366097075720978,247,1670366097075174312,,0.6045495419499528,0.0,0.0,0.0,0.0,0.0
1670366097123738404,248,1670366097123165145,,0.6107212294387456,0.0,0.0,0.0,0.0,0.0
1670366097155756589,249,1670366097155173571,,0.6193029924388388,0.0,0.0,0.0,0.0,0.0
1670366097203754941,250,1670366097203144515,,0.6254326228191416,0.0,0.0,0.0,0.0,0.0
1670366097251764775,251,1670366097251166015,,0.5076016219791081,0.0,0.0,0.0,0.0,0.0
1670366097283695812,252,1670366097283126275,,0.6437279428677487,0.0,0.0,0.0,0.0,0.0
1670366097331690589,253,1670366097331132682,,0.6498195400865131,0.0,0.0,0.0,0.0,0.0
1670366097363704812,254,1670366097363126774,,0.6587178992547771,0.0,0.0,0.0,0.0,0.0
1670366097411682367,255,1670366097411111460,,0.6648336570228031,0.0,0.0,0.0,0.0,0.0
1670366097459710145,256,1670366097459127126,,0.5377572077819979,0.0,0.0,0.0,0.0,0.0
1670366097561193219,257,1670366097560575404,,0.2718533933188436,0.0,0.0,0.0,0.0,0.0
1670366097665146015,258,1670366097664547737,,0.0,0.0,0.0,0.0,0.0,0.0
1670366097769139478,259,1670366097768549182,,0.0,0.0,0.0,0.0,0.0,0.0
1670366097873142978,260,1670366097872545885,,0.0,0.0,0.0,0.0,0.0,0.0
1670366097977145107,261,1670366097976552682,,0.0,0.0,0.0,0.0,0.0,0.0
1670366098081192144,262,1670366098080565681,,0.0,0.0,0.0,0.0,0.0,0.0
1670366098185174255,263,1670366098184565552,,0.0,0.0,0.0,0.0,0.0,0.0
1670366098289146311,264,1670366098288550441,,0.0,0.0,0.0,0.0,0.0,0.0
1670366098393140033,265,1670366098392549737,,0.0,0.0,0.0,0.0,0.0,0.0
1670366098497172144,266,1670366098496558978,,0.0,0.0,0.0,0.0,0.0,0.0
1670366098601169959,267,1670366098600576292,,0.0,0.0,0.0,0.0,0.0,0.0
1670366098705142051,268,1670366098704550200,,0.0,0.0,0.0,0.0,0.0,0.0
1670366098809139737,269,1670366098808546940,,0.0,0.0,0.0,0.0,0.0,0.0
1670366098913254699,270,1670366098912550366,,0.0,0.0,0.0,0.0,0.0,0.0
1670366099016983051,271,1670366099016496070,,0.0,0.0,0.0,0.0,0.0,0.0
1670366099121154903,272,1670366099120554940,,0.0,0.0,0.0,0.0,0.0,0.0
1670366099225158607,273,1670366099224565162,,0.0,0.0,0.0,0.0,0.0,0.0
1670366099329202699,274,1670366099328600236,,0.0,0.0,0.0,0.0,0.0,0.0
1670366099433193884,275,1670366099432591829,,0.0,0.0,0.0,0.0,0.0,0.0
1670366099537171995,276,1670366099536566644,,0.0,0.0,0.0,0.0,0.0,0.0
1670366099641135736,277,1670366099640563292,,0.0,0.0,0.0,0.0,0.0,0.0
1670366099745122310,278,1670366099744559551,,0.0,0.0,0.0,0.0,0.0,0.0
1670366099849132032,279,1670366099848562606,,0.0,0.0,0.0,0.0,0.0,0.0
1670366099953125662,280,1670366099952566069,,0.0,0.0,0.0,0.0,0.0,0.0
1670366100057160162,281,1670366100056563699,,0.0,0.0,0.0,0.0,0.0,0.0
1670366100161171032,282,1670366100160602199,,0.0,0.0,0.0,0.0,0.0,0.0
1670366100265123754,283,1670366100264550476,,0.0,0.0,0.0,0.0,0.0,0.0
1670366100369113365,284,1670366100368551921,,0.0,0.0,0.0,0.0,0.0,0.0
1670366100473146199,285,1670366100472561624,,0.0,0.0,0.0,0.0,0.0,0.0
1670366100577144013,286,1670366100576559624,,0.0,0.0,0.0,0.0,0.0,0.0
1670366100681135069,287,1670366100680566180,,0.0,0.0,0.0,0.0,0.0,0.0
1670366100785146643,288,1670366100784591550,,0.0,0.0,0.0,0.0,0.0,0.0
1670366100889266846,289,1670366100888632735,,0.0,0.0,0.0,0.0,0.0,0.0
1670366100993235439,290,1670366100992626698,,0.0,0.0,0.0,0.0,0.0,0.0
1670366101097232328,291,1670366101096633217,,0.0,0.0,0.0,0.0,0.0,0.0
1670366101201163031,292,1670366101200565846,,0.0,0.0,0.0,0.0,0.0,0.0
1670366101305124494,293,1670366101304549254,,0.0,0.0,0.0,0.0,0.0,0.0
1670366101409123939,294,1670366101408553772,,0.0,0.0,0.0,0.0,0.0,0.0
1670366101513144198,295,1670366101512567568,,0.0,0.0,0.0,0.0,0.0,0.0
1670366101617060328,296,1670366101616527124,,0.0,0.0,0.0,0.0,0.0,0.0
1670366101721161568,297,1670366101720557198,,0.0,0.0,0.0,0.0,0.0,0.0
1670366101825153364,298,1670366101824597272,,0.0,0.0,0.0,0.0,0.0,0.0
1670366101929118975,299,1670366101928557068,,0.0,0.0,0.0,0.0,0.0,0.0
1670366102018873383,300,1670366102018325475,,-0.371381921595764,0.0,0.0,0.0,0.0,0.0
1670366102067011531,301,1670366102066392049,,-0.5947904228326625,0.0,0.0,0.0,0.0,0.0
1670366102114959457,302,1670366102114365272,,-0.4470580228853805,0.0,0.0,0.0,0.0,0.0
